model_i,model_j,dm_stat,p_raw,p_holm
sarimax-hijri,chronos-bolt-L720+res-h,8.195384498259678,2.220446049250313e-16,3.952393967665557e-14
sarimax-hijri,moirai-L336+res-nh,4.0100978050067795,6.069360198490692e-05,0.006372828208415227
sarimax-hijri,moirai-L336+res-h,4.61647692348934,3.90309401243627e-06,0.00045275890544260733
sarimax-hijri,timesfm-L168+res-nh,6.154400282188766,7.536211654723957e-10,1.1304317482085935e-07
sarimax-hijri,timesfm-L168+res-h,6.732107126713814,1.6722401241509033e-11,2.6923065998829543e-09
sarimax-hijri,time-moe-L720+res-nh,7.122893327711631,1.056932319443149e-12,1.765076973470059e-10
sarimax-hijri,time-moe-L720+res-h,7.0468504435299755,1.830091633792108e-12,3.0196511957569783e-10
patchtsmixer-nohijri-L168,patchtsmixer-hijri-L168,2.779040248790665,0.005451976933013469,0.403150708414441
patchtsmixer-nohijri-L168,chronos-bolt-L720+res-nh,3.29624978474122,0.0009798485408056834,0.08524682305009446
patchtsmixer-nohijri-L168,chronos-bolt-L720+res-h,3.2857606048129764,0.0010170741014452478,0.08746837272429131
patchtsmixer-nohijri-L168,moirai-L336+res-nh,-2.946453888436047,0.0032144034128309684,0.25072346620081554
patchtsmixer-nohijri-L168,moirai-L336+res-h,-2.209739275575362,0.027123262271433246,1.0
patchtsmixer-nohijri-L168,timesfm-L168+res-nh,-0.5708603751984834,0.5680942929347483,1.0
patchtsmixer-nohijri-L168,timesfm-L168+res-h,0.12494107055292807,0.9005702035036185,1.0
patchtsmixer-nohijri-L168,time-moe-L720+res-nh,2.3626875966887235,0.018142956379539887,1.0
patchtsmixer-nohijri-L168,time-moe-L720+res-h,2.2459947061294163,0.02470434699478541,1.0
patchtsmixer-hijri-L168,chronos-bolt-L720+res-nh,2.765343095429795,0.005686295333733105,0.40941326402878353
patchtsmixer-hijri-L168,chronos-bolt-L720+res-h,2.748714661732368,0.005982944434537618,0.4129199842378264
patchtsmixer-hijri-L168,moirai-L336+res-nh,-3.4656205245514338,0.000529009360164423,0.04919787049529134
patchtsmixer-hijri-L168,moirai-L336+res-h,-2.7579913082719254,0.005815774425884879,0.4129199842378264
patchtsmixer-hijri-L168,timesfm-L168+res-nh,-0.9779353569537086,0.3281062966685129,1.0
patchtsmixer-hijri-L168,timesfm-L168+res-h,-0.2840771480784253,0.7763512590413031,1.0
patchtsmixer-hijri-L168,time-moe-L720+res-nh,1.7621919058295457,0.07803687920449298,1.0
patchtsmixer-hijri-L168,time-moe-L720+res-h,1.647186926451179,0.099519630164139,1.0
chronos-bolt-L720+res-nh,chronos-bolt-L720+res-h,-0.7850647421094318,0.4324156105085586,1.0
chronos-bolt-L720+res-nh,moirai-L336+res-nh,-7.195362046260953,6.230571614196379e-13,1.0467360311849916e-10
chronos-bolt-L720+res-nh,moirai-L336+res-h,-6.3485144674952565,2.1740409472670308e-10,3.391503877736568e-08
chronos-bolt-L720+res-nh,timesfm-L168+res-nh,-3.654348946832759,0.00025783540616175493,0.025267869803851983
chronos-bolt-L720+res-nh,timesfm-L168+res-h,-2.7920091651342913,0.0052381872395290685,0.39286404296468014
chronos-bolt-L720+res-nh,time-moe-L720+res-nh,-1.2754663969099551,0.20214421058313659,1.0
chronos-bolt-L720+res-nh,time-moe-L720+res-h,-1.4457270877196362,0.14825376362512332,1.0
