model,hour,regime,mae,n
chronos-bolt-L720,17,aggregate,912.9412978001644,456
chronos-bolt-L720,18,aggregate,894.5708177425987,456
chronos-bolt-L720,19,aggregate,846.8366702645285,456
chronos-bolt-L720,20,aggregate,802.821778029057,456
chronos-bolt-L720,21,aggregate,680.3513336074561,456
chronos-bolt-L720,22,aggregate,639.4641512472588,456
chronos-bolt-L720,23,aggregate,631.967435752467,456
chronos-bolt-L720,0,Heatwave,856.7792907714846,64
chronos-bolt-L720,1,Heatwave,822.5994946289065,64
chronos-bolt-L720,2,Heatwave,856.0052404785154,64
chronos-bolt-L720,3,Heatwave,916.7289672851562,64
chronos-bolt-L720,4,Heatwave,847.7746411132814,64
chronos-bolt-L720,5,Heatwave,1188.8846276855465,64
chronos-bolt-L720,6,Heatwave,1362.2985107421882,64
chronos-bolt-L720,7,Heatwave,1424.2406420898437,64
chronos-bolt-L720,8,Heatwave,1472.0690161132816,64
chronos-bolt-L720,9,Heatwave,1444.4672314453123,64
chronos-bolt-L720,10,Heatwave,1621.0303662109372,64
chronos-bolt-L720,11,Heatwave,1610.1325048828126,64
chronos-bolt-L720,12,Heatwave,1592.571630859375,64
chronos-bolt-L720,13,Heatwave,1484.7248583984376,64
chronos-bolt-L720,14,Heatwave,1453.5755859375004,64
chronos-bolt-L720,15,Heatwave,1303.9149609374997,64
chronos-bolt-L720,16,Heatwave,1279.4934155273434,64
chronos-bolt-L720,17,Heatwave,1305.8476708984372,64
chronos-bolt-L720,18,Heatwave,1212.097900390625,64
chronos-bolt-L720,19,Heatwave,1148.7104199218752,64
chronos-bolt-L720,20,Heatwave,1205.9902905273439,64
chronos-bolt-L720,21,Heatwave,1059.2562487792968,64
chronos-bolt-L720,22,Heatwave,944.6470251464841,64
chronos-bolt-L720,23,Heatwave,895.5191381835936,64
chronos-bolt-L720,0,Normal,571.8967935904656,333
chronos-bolt-L720,1,Normal,585.5017485454205,333
chronos-bolt-L720,2,Normal,580.0435076482732,333
chronos-bolt-L720,3,Normal,605.9884070007506,333
chronos-bolt-L720,4,Normal,697.1094453828828,333
chronos-bolt-L720,5,Normal,947.2051449887387,333
chronos-bolt-L720,6,Normal,1067.8350490334083,333
chronos-bolt-L720,7,Normal,1112.443478322072,333
chronos-bolt-L720,8,Normal,1189.00740381006,333
chronos-bolt-L720,9,Normal,1195.2419169951202,333
chronos-bolt-L720,10,Normal,1362.9044195758256,333
chronos-bolt-L720,11,Normal,1314.0902611204954,333
chronos-bolt-L720,12,Normal,1292.1655391328832,333
chronos-bolt-L720,13,Normal,1223.0276316159911,333
chronos-bolt-L720,14,Normal,1110.1510918731233,333
chronos-bolt-L720,15,Normal,951.5863954579579,333
chronos-bolt-L720,16,Normal,862.8322447447448,333
chronos-bolt-L720,17,Normal,834.7785062406156,333
chronos-bolt-L720,18,Normal,831.628063766892,333
chronos-bolt-L720,19,Normal,786.8687202045794,333
chronos-bolt-L720,20,Normal,736.7612682995494,333
chronos-bolt-L720,21,Normal,636.689027073949,333
chronos-bolt-L720,22,Normal,604.3169254410661,333
chronos-bolt-L720,23,Normal,596.7212957488739,333
chronos-bolt-L720,0,Ramadan,636.6584043961864,59
chronos-bolt-L720,1,Ramadan,866.4256302966098,59
chronos-bolt-L720,2,Ramadan,882.1678787076269,59
chronos-bolt-L720,3,Ramadan,807.6408011122882,59
chronos-bolt-L720,4,Ramadan,1116.3796967690676,59
chronos-bolt-L720,5,Ramadan,1520.9853972457624,59
chronos-bolt-L720,6,Ramadan,1509.946755826271,59
chronos-bolt-L720,7,Ramadan,1481.7845881885594,59
chronos-bolt-L720,8,Ramadan,1411.0570272775428,59
chronos-bolt-L720,9,Ramadan,1419.4870934851701,59
chronos-bolt-L720,10,Ramadan,1494.8210937499998,59
chronos-bolt-L720,11,Ramadan,1404.110659427966,59
chronos-bolt-L720,12,Ramadan,1368.6878734110164,59
chronos-bolt-L720,13,Ramadan,1343.4890585275423,59
chronos-bolt-L720,14,Ramadan,1195.2495153601694,59
chronos-bolt-L720,15,Ramadan,950.7204422669488,59
chronos-bolt-L720,16,Ramadan,1058.0476271186437,59
chronos-bolt-L720,17,Ramadan,927.8938691737287,59
chronos-bolt-L720,18,Ramadan,905.3878310381353,59
chronos-bolt-L720,19,Ramadan,857.8435752118642,59
chronos-bolt-L720,20,Ramadan,738.3364380296612,59
chronos-bolt-L720,21,Ramadan,515.7688506355929,59
chronos-bolt-L720,22,Ramadan,506.791647245763,59
chronos-bolt-L720,23,Ramadan,545.0124470338986,59
timesfm-2.5-L168,0,aggregate,868.9419580934759,456
timesfm-2.5-L168,1,aggregate,864.7762530838817,456
timesfm-2.5-L168,2,aggregate,879.8952979372258,456
timesfm-2.5-L168,3,aggregate,866.0403657826205,456
timesfm-2.5-L168,4,aggregate,895.2770271381578,456
timesfm-2.5-L168,5,aggregate,1463.7168314830044,456
timesfm-2.5-L168,6,aggregate,1589.3788089364034,456
timesfm-2.5-L168,7,aggregate,1515.1134462376644,456
timesfm-2.5-L168,8,aggregate,1521.4156698876097,456
timesfm-2.5-L168,9,aggregate,1472.378647375274,456
timesfm-2.5-L168,10,aggregate,1680.5195283374449,456
timesfm-2.5-L168,11,aggregate,1521.987056263706,456
timesfm-2.5-L168,12,aggregate,1521.8623888089367,456
timesfm-2.5-L168,13,aggregate,1463.7597109717653,456
timesfm-2.5-L168,14,aggregate,1364.9641118421052,456
timesfm-2.5-L168,15,aggregate,1173.3467973889803,456
timesfm-2.5-L168,16,aggregate,1083.7857235128838,456
timesfm-2.5-L168,17,aggregate,1048.6956904468202,456
timesfm-2.5-L168,18,aggregate,1013.0163721559758,456
timesfm-2.5-L168,19,aggregate,942.3254999314692,456
timesfm-2.5-L168,20,aggregate,908.7132848478618,456
timesfm-2.5-L168,21,aggregate,815.2040111019737,456
timesfm-2.5-L168,22,aggregate,819.7571599163925,456
timesfm-2.5-L168,23,aggregate,861.9784834155703,456
timesfm-2.5-L168,0,Heatwave,1142.2650366210937,64
timesfm-2.5-L168,1,Heatwave,1101.4260937500003,64
timesfm-2.5-L168,2,Heatwave,1164.338682861328,64
timesfm-2.5-L168,3,Heatwave,1234.4935021972653,64
timesfm-2.5-L168,4,Heatwave,1175.0179943847656,64
timesfm-2.5-L168,5,Heatwave,1920.8951513671875,64
timesfm-2.5-L168,6,Heatwave,1967.9615625000006,64
timesfm-2.5-L168,7,Heatwave,1952.0166772460939,64
timesfm-2.5-L168,8,Heatwave,2027.7184472656254,64
timesfm-2.5-L168,9,Heatwave,2034.9619482421872,64
timesfm-2.5-L168,10,Heatwave,2191.0323876953125,64
timesfm-2.5-L168,11,Heatwave,1960.8033032226563,64
timesfm-2.5-L168,12,Heatwave,1948.5534716796874,64
timesfm-2.5-L168,13,Heatwave,1904.9674047851565,64
timesfm-2.5-L168,14,Heatwave,1980.8928515624998,64
timesfm-2.5-L168,15,Heatwave,1708.734990234375,64
timesfm-2.5-L168,16,Heatwave,1640.5795849609374,64
timesfm-2.5-L168,17,Heatwave,1648.4432055664063,64
timesfm-2.5-L168,18,Heatwave,1567.3505615234376,64
timesfm-2.5-L168,19,Heatwave,1458.27056640625,64
timesfm-2.5-L168,20,Heatwave,1465.415515136719,64
timesfm-2.5-L168,21,Heatwave,1312.6264990234376,64
timesfm-2.5-L168,22,Heatwave,1224.9272106933595,64
timesfm-2.5-L168,23,Heatwave,1245.971258544922,64
timesfm-2.5-L168,0,Normal,828.5964529373123,333
timesfm-2.5-L168,1,Normal,823.4353399493243,333
timesfm-2.5-L168,2,Normal,815.6892839714715,333
timesfm-2.5-L168,3,Normal,788.2906085773272,333
timesfm-2.5-L168,4,Normal,795.6578795983482,333
timesfm-2.5-L168,5,Normal,1361.6984926332582,333
timesfm-2.5-L168,6,Normal,1480.5350757789038,333
timesfm-2.5-L168,7,Normal,1402.0233495213963,333
timesfm-2.5-L168,8,Normal,1401.9525075075076,333
timesfm-2.5-L168,9,Normal,1344.1372442755253,333
timesfm-2.5-L168,10,Normal,1571.28197118994,333
timesfm-2.5-L168,11,Normal,1419.669563626126,333
timesfm-2.5-L168,12,Normal,1419.2188243712462,333
timesfm-2.5-L168,13,Normal,1367.5022398179428,333
timesfm-2.5-L168,14,Normal,1273.6125797672673,333
timesfm-2.5-L168,15,Normal,1091.253492164039,333
timesfm-2.5-L168,16,Normal,973.8567583990243,333
timesfm-2.5-L168,17,Normal,945.1101496809308,333
timesfm-2.5-L168,18,Normal,914.7937375656905,333
timesfm-2.5-L168,19,Normal,848.917487331081,333
timesfm-2.5-L168,20,Normal,817.1496661505255,333
timesfm-2.5-L168,21,Normal,745.1131808370869,333
timesfm-2.5-L168,22,Normal,755.5360972691441,333
timesfm-2.5-L168,23,Normal,795.8501703265765,333
timesfm-2.5-L168,0,Ramadan,800.1686731991529,59
timesfm-2.5-L168,1,Ramadan,841.4022576800844,59
timesfm-2.5-L168,2,Ramadan,933.7296371822032,59
timesfm-2.5-L168,3,Ramadan,905.1872881355928,59
timesfm-2.5-L168,4,Ramadan,1154.086420815678,59
timesfm-2.5-L168,5,Ramadan,1543.5930071504238,59
timesfm-2.5-L168,6,Ramadan,1793.0341803495762,59
timesfm-2.5-L168,7,Ramadan,1679.4726906779663,59
timesfm-2.5-L168,8,Ramadan,1646.4640651483055,59
timesfm-2.5-L168,9,Ramadan,1585.9219690148311,59
timesfm-2.5-L168,10,Ramadan,1743.2870458156774,59
timesfm-2.5-L168,11,Ramadan,1623.4698569915254,59
timesfm-2.5-L168,12,Ramadan,1638.33828125,59
timesfm-2.5-L168,13,Ramadan,1528.4452277542364,59
timesfm-2.5-L168,14,Ramadan,1212.4322616525421,59
timesfm-2.5-L168,15,Ramadan,1055.9269041313557,59
timesfm-2.5-L168,16,Ramadan,1100.2524735169488,59
